Team,Opponent,Team_Score,Opp_Score,Spread,Spread_Covered,Final_Score,Date
Murray Stte,Valparaiso,58,47,-7.5,Y,58-47,2025-01-11
UMass-Lowell,NJIT,70,62,-18.5,Y,70-62,2025-01-11
Pacific,Oregon Stte,55,91,9.5,N,55-91,2025-01-11
Georgetown University,Connecticut,60,68,5.0,N,60-68,2025-01-11
UTEP,New Mexico Stte,57,85,-7.0,N,57-85,2025-01-11
PFW,Detroit,90,67,-18.5,Y,90-67,2025-01-11
Utah Valley,Cal Baptist,75,69,-5.0,Y,75-69,2025-01-11
Monmouth,College of Charleston,84,73,7.0,Y,84-73,2025-01-11
Appalachian Stte,James Madison,86,66,-1.0,Y,86-66,2025-01-11
Utah,Oklahoma Stte,83,62,-7.5,Y,83-62,2025-01-11
Rice,Temple,70,73,-1.0,N,70-73,2025-01-11
Texas Tech,Iowa Stte,84,85,-3.0,Y,84-85,2025-01-11
Hampton,Delaware,83,77,2.5,Y,83-77,2025-01-11
High Point,Gardner-Webb,96,55,-12.5,Y,96-55,2025-01-11
Miami,Wake Forest,78,88,4.0,N,78-88,2025-01-11
Dartmouth,Pennsylvania,73,70,-4.0,Y,73-70,2025-01-11
Hofstra,UNC Wilmington,66,63,-2.0,Y,66-63,2025-01-11
S Carolina,Auburn,63,66,16.5,Y,63-66,2025-01-11
Georgia Stte,Coastal Carolina,79,74,-3.5,Y,79-74,2025-01-11
Eastern Kentucky,Jacksonville,75,82,-2.5,N,75-82,2025-01-11
Sttson,North Alabama,64,92,8.0,N,64-92,2025-01-11
Southern,Florida A&M,91,57,-12.0,Y,91-57,2025-01-11
Arizona,Central Florida,88,80,-17.0,Y,88-80,2025-01-11
William & Mary,N Carolina A&T,81,78,-12.5,Y,81-78,2025-01-11
Northern Kentucky,Oakland,53,68,-3.5,N,53-68,2025-01-11
Idaho Stte,Weber Stte,69,77,-4.0,N,69-77,2025-01-11
Seattle,Abilene Christian,66,64,-8.5,Y,66-64,2025-01-11
Colorado Stte,UNLV,84,62,-5.5,Y,84-62,2025-01-11
St Bonaventure,La Salle,82,83,-12.0,Y,82-83,2025-01-11
Winthrop,Longwood,95,76,-3.0,Y,95-76,2025-01-11
Pittsburgh,Louisville,78,82,-3.5,N,78-82,2025-01-11
Memphis,East Carolina,74,70,-12.5,Y,74-70,2025-01-11
N Carolina Central,Maryland-Eastern Shore,88,69,-10.5,Y,88-69,2025-01-11
American,Bucknell,68,58,-3.0,Y,68-58,2025-01-11
Lafayette,Holy Cross,82,65,-6.0,Y,82-65,2025-01-11
Northwestern Stte,Texas A&M-Commerce,75,67,-9.5,Y,75-67,2025-01-11
Davidson,Fordham,74,64,-9.0,Y,74-64,2025-01-11
Tulane,South Florida,73,70,-3.5,Y,73-70,2025-01-11
Louisiana Tech,Liberty,79,74,1.0,Y,79-74,2025-01-11
Illinois Stte,Northern Iowa,84,85,-1.0,N,84-85,2025-01-11
Illinois,USC,72,82,-12.5,Y,72-82,2025-01-11
Cincinnati,Kansas,40,54,1.0,N,40-54,2025-01-11
Western Illinois,Tennessee Stte,52,72,-2.5,N,52-72,2025-01-11
New Orleans,Southeastern Louisiana,71,91,6.5,N,71-91,2025-01-11
St Thomas (MN),South Dakota,119,104,-9.5,Y,119-104,2025-01-11
Bryant,Vermont,73,53,-3.5,Y,73-53,2025-01-11
Grambling Stte,Bethune-Cookman,59,65,0.0,N,59-65,2025-01-11
East Tennessee Stte,The Citadel,70,52,-16.5,Y,70-52,2025-01-11
Georgia,Oklahoma,72,62,-7.0,Y,72-62,2025-01-11
UTSA,Wichita Stte,88,75,6.0,Y,88-75,2025-01-11
Boston Col,Syracuse,71,79,-1.5,N,71-79,2025-01-11
Santa Clara,San Francisco,77,54,-2.5,Y,77-54,2025-01-11
South Alabama,Old Dominion,63,71,-14.5,Y,63-71,2025-01-11
Denver,North Dakota Stte,50,69,10.0,N,50-69,2025-01-11
Montana,Northern Colorado,57,81,-3.0,N,57-81,2025-01-11
Southern Illinois-Edwardsville,Tennessee Tech,67,59,-5.5,Y,67-59,2025-01-11
Air Force,San Jose Stte,62,69,2.0,N,62-69,2025-01-11
George Mason,UMass,77,70,-11.5,Y,77-70,2025-01-11
Kansas Stte,Houston,57,87,10.5,N,57-87,2025-01-11
Texas A&M,Alabama,88,94,3.5,N,88-94,2025-01-11
McNeese St Stte,Nicholls Stte,80,71,-16.5,Y,80-71,2025-01-11
DePaul,Xavier,63,77,4.5,N,63-77,2025-01-11
Miami-Ohio,Western Michigan,91,71,-9.0,Y,91-71,2025-01-11
TX Christian,BYU,71,67,2.5,Y,71-67,2025-01-11
Texas,Tennessee,70,74,5.0,Y,70-74,2025-01-11
Lindenwood,Tennessee-Martin,82,81,0.0,Y,82-81,2025-01-11
Drake,Evansville,63,40,-15.5,Y,63-40,2025-01-11
Southern Mississippi,Texas Stte,92,88,3.0,Y,92-88,2025-01-11
Iowa,Indiana,85,60,-5.0,Y,85-60,2025-01-11
Stnford,Virginia,88,65,-8.0,Y,88-65,2025-01-11
Samford,UNC Greensboro,76,69,-6.5,Y,76-69,2025-01-11
Lehigh,Army,69,74,-3.5,N,69-74,2025-01-11
Middle Tennessee,Jacksonville Stte,81,64,-5.5,Y,81-64,2025-01-11
Portland Stte,Idaho,75,63,-2.5,Y,75-63,2025-01-11
Wisconsin-Milwaukee,Wisconsin-Green Bay,70,59,-15.5,Y,70-59,2025-01-11
Marshall,Georgia Southern,81,69,-8.0,Y,81-69,2025-01-11
St Johns,Villanova,80,68,-6.5,Y,80-68,2025-01-11
Arkansas,Florida,63,71,4.0,N,63-71,2025-01-11
UC Davis,Long Beach Stte,73,84,-5.5,N,73-84,2025-01-11
Harvard,Princeton,64,68,4.5,Y,64-68,2025-01-11
Miss Statete,Kentucky,90,95,-5.0,N,90-95,2025-01-11
USC Upstate,Radford,67,80,5.5,N,67-80,2025-01-11
Cal Poly,UC-Santa Barbara,72,75,4.5,Y,72-75,2025-01-11
Alcorn Stte,Alabama A&M,62,52,-4.0,Y,62-52,2025-01-11
Sam Houston Stte,Florida International,81,74,-8.5,Y,81-74,2025-01-11
Gonzaga,Washington Stte,88,75,-17.0,Y,88-75,2025-01-11
Fresno Stte,Nevada,66,77,12.5,Y,66-77,2025-01-11
Saint Josephs,Loyola-Chicago,93,57,-5.0,Y,93-57,2025-01-11
S Methodist,Georgia Tech,93,71,-11.0,Y,93-71,2025-01-11
Western Kentucky,Kennesaw Stte,85,69,-7.5,Y,85-69,2025-01-11
Stny Brook,Northeastern,66,70,5.5,Y,66-70,2025-01-11
Bellarmine,North Florida,83,98,4.5,N,83-98,2025-01-11
California,VA Tech,68,71,-7.0,Y,68-71,2025-01-11
Colgate,Boston University,87,50,-3.5,Y,87-50,2025-01-11
Howard,Morgan Stte,100,95,-9.0,Y,100-95,2025-01-11
Presbyterian,UNC Asheville,87,96,-1.0,N,87-96,2025-01-11
Drexel,Towson,82,93,-2.0,N,82-93,2025-01-11
Loyola-Maryland,Navy,75,74,-2.5,Y,75-74,2025-01-11
Southeast Missouri Stte,Morehead Stte,56,67,-3.5,N,56-67,2025-01-11
San Diego,St Marys,56,103,16.5,N,56-103,2025-01-11
Jackson Stte,Alabama Stte,77,70,-3.5,Y,77-70,2025-01-11
Arizona Stte,Baylor,66,72,6.5,Y,66-72,2025-01-11
Duke,Notre Dame,86,78,-19.5,Y,86-78,2025-01-11
Lipscomb,West Georgia,86,67,-20.0,Y,86-67,2025-01-11
Oral Roberts,North Dakota,83,79,2.5,Y,83-79,2025-01-11
Southern Utah,Texas-Arlington,73,68,-2.5,Y,73-68,2025-01-11
Louisiana-Lafayette,Louisiana-Monroe,71,68,-6.5,Y,71-68,2025-01-11
Austin Peay,Queens,60,67,1.0,N,60-67,2025-01-11
Montana Stte,Northern Arizona,58,53,-6.5,Y,58-53,2025-01-11
Florida Gulf Coast,Central Arkansas,77,71,-12.5,Y,77-71,2025-01-11
Troy,Arkansas Stte,78,84,-2.5,N,78-84,2025-01-11
Eastern Michigan,Akron,81,105,8.0,N,81-105,2025-01-11
Mississippi Valley Stte,Prairie View A&M,65,74,13.5,Y,65-74,2025-01-11
Texas A&M-Corpus Christi,UTRGV,79,74,-5.0,Y,79-74,2025-01-11
Cal Stte-Bakersfield,Cal Stte-Northridge,94,90,4.5,Y,94-90,2025-01-11
Arkansas-Little Rock,Southern Indiana,78,58,-5.5,Y,78-58,2025-01-12
Michigan,Washington,91,75,-14.0,Y,91-75,2025-01-12
Mount St Marys,Sacred Heart,73,71,-3.5,Y,73-71,2025-01-12
Canisius,Saint Peters,49,62,5.5,N,49-62,2025-01-12
Penn Stte,Oregon,81,82,2.0,Y,81-82,2025-01-12
Purdue,Nebraska,104,68,-8.5,Y,104-68,2025-01-12
Florida Atlantic,UAB,76,81,-3.0,N,76-81,2025-01-12
Marist,Fairfield,61,51,-7.0,Y,61-51,2025-01-12
Western Carolina,Mercer,85,82,4.5,Y,85-82,2025-01-12
Northwestern,Michigan Stte,68,78,2.0,N,68-78,2025-01-12
Chattanooga,VMI,91,66,-13.5,Y,91-66,2025-01-12
Robert Morris,Wright Stte,75,72,0.0,Y,75-72,2025-01-12
Niagara,Rider,65,68,-5.5,Y,65-68,2025-01-12
Tulsa,Charlotte,69,63,-1.5,Y,69-63,2025-01-12
Colorado,W Virginia,70,78,-2.5,N,70-78,2025-01-12
Merrimack,Manhattan,69,62,-7.5,Y,69-62,2025-01-12
Iona,Quinnipiac,62,63,1.5,Y,62-63,2025-01-12
Notre Dame,Boston Col,78,60,-11.0,Y,78-60,2025-01-13
Loyola-Maryland,American,54,73,-1.5,N,54-73,2025-01-13
Southern,Bethune-Cookman,69,53,-6.5,Y,69-53,2025-01-13
Rutgers,UCLA,75,68,4.0,Y,75-68,2025-01-13
Grambling Stte,Florida A&M,79,72,-7.5,Y,79-72,2025-01-13
Furman,Wofford,62,81,-7.5,N,62-81,2025-01-13
Howard,Coppin Stte,90,75,-13.0,Y,90-75,2025-01-13
UTRGV,Texas A&M-Commerce,57,55,-12.5,Y,57-55,2025-01-13
Alcorn Stte,Alabama Stte,67,65,4.5,Y,67-65,2025-01-13
Arkansas-Pine Bluff,Prairie View A&M,64,75,2.5,N,64-75,2025-01-13
Maryland,Minnesota,77,71,-15.5,Y,77-71,2025-01-13
Houston Baptist,McNeese St Stte,59,75,14.5,N,59-75,2025-01-13
Incarnate Word,Nicholls Stte,82,88,-1.5,N,82-88,2025-01-13
Mississippi Valley Stte,Texas Southern,53,82,17.0,N,53-82,2025-01-13
S Carolina Stte,Maryland-Eastern Shore,78,64,-13.5,Y,78-64,2025-01-13
Stphen F. Austin,Southeastern Louisiana,59,66,-5.5,N,59-66,2025-01-13
Lamar,New Orleans,62,68,-12.5,Y,62-68,2025-01-13
Texas A&M-Corpus Christi,Northwestern Stte,73,64,-8.5,Y,73-64,2025-01-13
N Carolina Central,Delaware Stte,75,72,-6.0,Y,75-72,2025-01-13
Morgan Stte,Norfolk Stte,78,74,9.5,Y,78-74,2025-01-13
Elon,Campbell,81,68,-7.5,Y,81-68,2025-01-13
Jackson Stte,Alabama A&M,103,93,-8.0,Y,103-93,2025-01-13
DePaul,Marquette,83,85,13.0,Y,83-85,2025-01-14
Nevada,Air Force,68,62,-19.5,Y,68-62,2025-01-14
Southeast Missouri Stte,Arkansas-Little Rock,71,73,-2.0,N,71-73,2025-01-14
St Johns,Georgetown University,63,58,-9.5,Y,63-58,2025-01-14
Belmont,Valparaiso,71,64,-7.0,Y,71-64,2025-01-14
LSU,Arkansas,78,74,0.0,Y,78-74,2025-01-14
Florida,Missouri,82,83,-10.5,Y,82-83,2025-01-14
Wisconsin,Ohio Stte,70,68,-6.5,Y,70-68,2025-01-14
Creighton,Providence,84,64,-9.0,Y,84-64,2025-01-14
Bowling Green,Buffalo,79,61,-8.0,Y,79-61,2025-01-14
Northern Iowa,Evansville,73,56,-13.0,Y,73-56,2025-01-14
Ohio,Ball Stte,86,71,-9.0,Y,86-71,2025-01-14
Auburn,Miss Statete,88,66,-7.5,Y,88-66,2025-01-14
Kentucky,Texas A&M,81,69,-7.0,Y,81-69,2025-01-14
USC,Iowa,99,89,-3.0,Y,99-89,2025-01-14
Arizona Stte,Central Florida,89,95,-3.5,N,89-95,2025-01-14
East Carolina,North Texas,60,69,3.0,N,60-69,2025-01-14
San Diego Stte,Colorado Stte,75,60,-7.0,Y,75-60,2025-01-14
Duke,Miami,89,54,-23.5,Y,89-54,2025-01-14
Wichita Stte,Charlotte,68,59,-10.5,Y,68-59,2025-01-14
Xavier,Villanova,69,63,-3.0,Y,69-63,2025-01-14
Rice,UTSA,84,90,-4.0,N,84-90,2025-01-14
Central Michigan,Eastern Michigan,82,63,-8.0,Y,82-63,2025-01-14
Kent Stte,Western Michigan,83,94,-13.0,Y,83-94,2025-01-14
Georgia Tech,Clemson,59,70,6.5,N,59-70,2025-01-14
Alabama,Ole Miss,64,74,-12.0,Y,64-74,2025-01-14
BYU,Oklahoma Stte,85,69,-14.0,Y,85-69,2025-01-14
Akron,Toledo,85,78,-7.5,Y,85-78,2025-01-14
Syracuse,Louisville,61,85,8.5,N,61-85,2025-01-14
Indiana,Illinois,69,94,6.0,N,69-94,2025-01-14
Boise Stte,Wyoming,96,55,-13.0,Y,96-55,2025-01-14
Kansas Stte,Texas Tech,57,61,6.5,Y,57-61,2025-01-14
VCU,Saint Louis,78,62,-10.0,Y,78-62,2025-01-14
Arizona,Baylor,81,70,-5.5,Y,81-70,2025-01-14
Northern Illinois,Miami-Ohio,69,84,10.5,N,69-84,2025-01-14
San Jose Stte,New Mexico,71,70,9.5,Y,71-70,2025-01-14
Drake,Illinois Stte,66,62,-10.5,Y,66-62,2025-01-15
Army,Lafayette,70,68,-1.5,Y,70-68,2025-01-15
Chattanooga,Wofford,83,81,-2.5,Y,83-81,2025-01-15
Louisiana-Monroe,Troy,58,77,13.0,N,58-77,2025-01-15
Boston University,Lehigh,63,58,-4.0,Y,63-58,2025-01-15
Loyola-Chicago,Rhode Island,81,77,-4.5,Y,81-77,2025-01-15
UNLV,Utah Stte,65,62,5.5,Y,65-62,2025-01-15
UNC Asheville,USC Upstate,93,92,-11.5,Y,93-92,2025-01-15
Butler,Seton Hall,82,77,-6.5,Y,82-77,2025-01-15
Colorado,Cincinnati,62,68,3.5,N,62-68,2025-01-15
Texas Stte,Georgia Stte,94,80,-9.5,Y,94-80,2025-01-15
Florida Stte,Pittsburgh,82,70,2.5,Y,82-70,2025-01-15
Wright Stte,PFW,113,120,1.5,N,113-120,2025-01-15
Cleveland Stte,Northern Kentucky,76,58,-4.5,Y,76-58,2025-01-15
Furman,East Tennessee Stte,73,70,-3.5,Y,73-70,2025-01-15
Navy,Colgate,66,73,2.5,N,66-73,2025-01-15
George Washington,Duquesne,65,73,-4.0,N,65-73,2025-01-15
South Florida,UAB,83,92,3.0,N,83-92,2025-01-15
Mercer,Samford,74,75,5.5,Y,74-75,2025-01-15
South Alabama,Southern Mississippi,75,62,-12.5,Y,75-62,2025-01-15
Virginia,S Methodist,52,54,6.0,Y,52-54,2025-01-15
Oklahoma,Texas,73,77,-2.5,N,73-77,2025-01-15
VMI,Western Carolina,66,50,-1.5,Y,66-50,2025-01-15
Vanderbilt,S Carolina,66,63,-9.0,Y,66-63,2025-01-15
La Salle,Davidson,79,76,2.0,Y,79-76,2025-01-15
Bucknell,Holy Cross,86,82,-5.5,Y,86-82,2025-01-15
Bradley,Indiana Stte,118,65,-8.0,Y,118-65,2025-01-15
Winthrop,Charleston Southern,102,97,-10.5,Y,102-97,2025-01-15
Oakland,IUPUI,72,59,-8.5,Y,72-59,2025-01-15
Fordham,UMass,118,120,-1.0,N,118-120,2025-01-15
Missouri Stte,Southern Illinois,51,73,-1.5,N,51-73,2025-01-15
N Carolina,California,79,53,-15.5,Y,79-53,2025-01-15
UNC Greensboro,The Citadel,70,57,-16.5,Y,70-57,2025-01-15
VA Tech,NC Stte,79,76,1.0,Y,79-76,2025-01-15
TX Christian,Utah,65,73,-4.0,N,65-73,2025-01-15
Houston,W Virginia,70,54,-16.5,Y,70-54,2025-01-15
Tennessee,Georgia,74,56,-12.5,Y,74-56,2025-01-15
Washington,Purdue,58,69,8.0,N,58-69,2025-01-15
Dayton,George Mason,59,67,-7.5,N,59-67,2025-01-15
Denver,Nebraska-Omaha,62,80,4.5,N,62-80,2025-01-15
Michigan Stte,Penn Stte,90,85,-11.0,Y,90-85,2025-01-15
Tulane,Florida Atlantic,80,65,2.0,Y,80-65,2025-01-15
Iowa Stte,Kansas,74,57,-5.5,Y,74-57,2025-01-15
St Bonaventure,Richmond,63,49,-13.0,Y,63-49,2025-01-15
Wake Forest,Stnford,80,67,-6.0,Y,80-67,2025-01-15
Radford,Gardner-Webb,79,75,-5.5,Y,79-75,2025-01-15
UIC,Murray Stte,97,93,-3.0,Y,97-93,2025-01-15
Pepperdine,San Francisco,63,80,6.5,N,63-80,2025-01-16
San Diego,Washington Stte,61,65,13.0,Y,61-65,2025-01-16
Delaware,Stny Brook,84,74,-10.5,Y,84-74,2025-01-16
Hampton,William & Mary,64,67,4.0,Y,64-67,2025-01-16
South Dakota Stte,North Dakota,109,73,-12.0,Y,109-73,2025-01-16
Quinnipiac,Merrimack,81,76,-4.0,Y,81-76,2025-01-16
Southern Indiana,Lindenwood,80,73,-1.0,Y,80-73,2025-01-16
Northern Colorado,Portland Stte,72,69,-9.5,Y,72-69,2025-01-16
Cal Poly,UC Davis,54,65,-5.5,N,54-65,2025-01-16
Idaho Stte,Montana Stte,70,67,-1.5,Y,70-67,2025-01-16
Tennessee Tech,Southeast Missouri Stte,70,77,-1.5,N,70-77,2025-01-16
Tarleton Stte,Cal Baptist,67,57,3.5,Y,67-57,2025-01-16
Fairfield,Niagara,70,66,-2.5,Y,70-66,2025-01-16
UC Irvine,Cal Stte-Fullerton,82,62,-19.0,Y,82-62,2025-01-16
Oregon Stte,Gonzaga,97,89,9.0,Y,97-89,2025-01-16
Jacksonville Stte,Louisiana Tech,63,61,3.5,Y,63-61,2025-01-16
Morehead Stte,Western Illinois,51,47,-8.5,Y,51-47,2025-01-16
North Dakota Stte,UMKC,71,64,-9.0,Y,71-64,2025-01-16
Nebraska,Rutgers,82,85,-8.5,Y,82-85,2025-01-16
Tennessee-Martin,Eastern Illinois,68,63,-5.5,Y,68-63,2025-01-16
Coastal Carolina,Georgia Southern,87,88,-1.5,Y,87-88,2025-01-16
Saint Peters,Marist,51,56,-1.5,N,51-56,2025-01-16
Northern Arizona,Sacramento Stte,77,53,-8.0,Y,77-53,2025-01-16
UNC Wilmington,Northeastern,80,72,-6.5,Y,80-72,2025-01-16
Hawaii,Cal Stte-Northridge,60,83,-3.5,N,60-83,2025-01-16
Siena,Sacred Heart,93,75,-1.0,Y,93-75,2025-01-16
Rider,Mount St Marys,66,60,1.0,Y,66-60,2025-01-16
Texas-Arlington,Utah Valley,83,85,-1.0,N,83-85,2025-01-16
Drexel,Elon,54,65,-1.5,N,54-65,2025-01-16
Minnesota,Michigan,84,81,10.5,Y,84-81,2025-01-16
Grand Canyon,Abilene Christian,88,58,-13.5,Y,88-58,2025-01-16
James Madison,Marshall,67,64,-6.5,Y,67-64,2025-01-16
UC-Santa Barbara,UC Riverside,66,63,-6.5,Y,66-63,2025-01-16
Seattle,Dixie Stte,82,62,-11.5,Y,82-62,2025-01-16
Temple,Memphis,88,81,7.0,Y,88-81,2025-01-16
South Dakota,Oral Roberts,92,82,-7.5,Y,92-82,2025-01-16
Portland,Pacific,84,81,-4.0,Y,84-81,2025-01-16
Tennessee Stte,Southern Illinois-Edwardsville,80,87,1.0,N,80-87,2025-01-16
Weber Stte,Montana,59,63,-1.5,N,59-63,2025-01-16
Old Dominion,Appalachian Stte,43,62,3.0,N,43-62,2025-01-16
Loyola Marymount,Santa Clara,57,54,4.5,Y,57-54,2025-01-16
Towson,Hofstra,65,60,-5.0,Y,65-60,2025-01-16
Liberty,UTEP,70,72,-8.5,Y,70-72,2025-01-16
Iona,Canisius,82,61,-11.5,Y,82-61,2025-01-16
N Carolina A&T,Monmouth,63,72,2.0,N,63-72,2025-01-16
Campbell,College of Charleston,61,67,4.5,N,61-67,2025-01-16
Florida International,New Mexico Stte,52,59,3.0,N,52-59,2025-01-16
Arkansas Stte,Louisiana-Lafayette,83,63,-16.5,Y,83-63,2025-01-16
Kennesaw Stte,Sam Houston Stte,75,69,-1.5,Y,75-69,2025-01-16
Northwestern,Maryland,76,74,2.5,Y,76-74,2025-01-16
Long Beach Stte,UC San Diego,54,80,14.5,N,54-80,2025-01-16
Akron,Ohio,92,80,-3.0,Y,92-80,2025-01-17
Villanova,Providence,75,73,-9.5,Y,75-73,2025-01-17
Wisconsin-Green Bay,Robert Morris,67,89,6.5,N,67-89,2025-01-17
Wisconsin-Milwaukee,Youngstown Stte,79,64,-6.0,Y,79-64,2025-01-17
Ohio Stte,Indiana,76,77,-8.0,Y,76-77,2025-01-17
UCLA,Iowa,94,70,-6.5,Y,94-70,2025-01-17
Georgetown University,DePaul,68,73,-6.5,Y,68-73,2025-01-17
Saint Josephs,VCU,69,78,3.5,N,69-78,2025-01-17
New Mexico,Boise Stte,84,65,-3.5,Y,84-65,2025-01-17
Fresno Stte,Air Force,74,65,-4.5,Y,74-65,2025-01-17
UC-Santa Barbara,UC Davis,60,64,-8.5,Y,60-64,2025-01-18
Abilene Christian,Cal Baptist,54,60,1.5,N,54-60,2025-01-18
Detroit,Oakland,59,65,9.0,Y,59-65,2025-01-18
Murray Stte,Bradley,61,74,-1.0,N,61-74,2025-01-18
St Thomas (MN),Denver,74,62,-15.5,Y,74-62,2025-01-18
College of Charleston,Northeastern,87,85,-6.5,Y,87-85,2025-01-18
Wofford,Mercer,69,49,-7.5,Y,69-49,2025-01-18
Middle Tennessee,Western Kentucky,71,57,-5.5,Y,71-57,2025-01-18
Tennessee Stte,Eastern Illinois,84,65,-5.5,Y,84-65,2025-01-18
Northern Arizona,Portland Stte,69,80,-4.0,N,69-80,2025-01-18
Wichita Stte,East Carolina,72,75,-4.0,Y,72-75,2025-01-18
Northern Colorado,Sacramento Stte,68,64,-15.5,Y,68-64,2025-01-18
South Dakota Stte,Oral Roberts,84,70,-16.5,Y,84-70,2025-01-18
Northern Kentucky,Wright Stte,70,78,-1.5,N,70-78,2025-01-18
Florida International,UTEP,73,81,2.5,N,73-81,2025-01-18
Marquette,Xavier,57,59,-10.0,Y,57-59,2025-01-18
Loyola Marymount,San Diego,77,70,-11.5,Y,77-70,2025-01-18
Marist,Rider,57,64,-8.5,Y,57-64,2025-01-18
Texas Stte,Southern Mississippi,85,82,-9.0,Y,85-82,2025-01-18
Hawaii,Cal Stte-Bakersfield,81,70,-7.0,Y,81-70,2025-01-18
Liberty,New Mexico Stte,68,60,-6.5,Y,68-60,2025-01-18
Ball Stte,Toledo,75,93,-1.0,N,75-93,2025-01-18
Weber Stte,Montana Stte,71,80,1.5,N,71-80,2025-01-18
Boston Col,Duke,63,88,23.0,N,63-88,2025-01-18
N Carolina,Stnford,71,72,-12.0,Y,71-72,2025-01-18
Utah Valley,Dixie Stte,96,80,-13.5,Y,96-80,2025-01-18
UC Riverside,UC San Diego,85,81,9.0,Y,85-81,2025-01-18
Brown,Harvard,67,80,-4.5,N,67-80,2025-01-18
Wyoming,Colorado Stte,63,79,4.5,N,63-79,2025-01-18
Indiana Stte,Drake,53,71,7.0,N,53-71,2025-01-18
Long Beach Stte,Cal Stte-Fullerton,67,83,-5.5,N,67-83,2025-01-18
South Alabama,Troy,64,63,-3.5,Y,64-63,2025-01-18
Jacksonville Stte,Sam Houston Stte,70,62,-1.5,Y,70-62,2025-01-18
Seattle,Southern Utah,75,52,-9.5,Y,75-52,2025-01-18
Pepperdine,St Marys,50,74,13.5,N,50-74,2025-01-18
Pennsylvania,Cornell,76,86,8.0,N,76-86,2025-01-18
San Diego Stte,UNLV,68,76,-10.5,Y,68-76,2025-01-18
Texas A&M,LSU,68,57,-11.0,Y,68-57,2025-01-18
NC Stte,California,62,65,-6.0,Y,62-65,2025-01-18
Valparaiso,UIC,74,81,1.5,N,74-81,2025-01-18
W Virginia,Iowa Stte,64,57,6.5,Y,64-57,2025-01-18
UTSA,North Texas,57,72,8.0,N,57-72,2025-01-18
Illinois Stte,Missouri Stte,74,68,-9.5,Y,74-68,2025-01-18
Seton Hall,St Johns,51,79,9.5,N,51-79,2025-01-18
Tennessee-Martin,Southern Illinois-Edwardsville,85,82,-2.0,Y,85-82,2025-01-18
Florida,Texas,84,60,-11.0,Y,84-60,2025-01-18
Southern Indiana,Western Illinois,78,66,-4.0,Y,78-66,2025-01-18
Syracuse,Notre Dame,77,69,4.5,Y,77-69,2025-01-18
Vanderbilt,Tennessee,76,75,5.5,Y,76-75,2025-01-18
Campbell,Monmouth,81,58,-3.0,Y,81-58,2025-01-18
Western Michigan,Buffalo,76,85,-8.5,N,76-85,2025-01-18
Furman,Chattanooga,71,75,-4.5,Y,71-75,2025-01-18
Grand Canyon,Tarleton Stte,88,64,-15.5,Y,88-64,2025-01-18
Richmond,Saint Louis,59,63,6.5,Y,59-63,2025-01-18
Idaho Stte,Montana,86,61,-2.0,Y,86-61,2025-01-18
Kennesaw Stte,Louisiana Tech,78,76,2.0,Y,78-76,2025-01-18
Delaware,Elon,79,77,1.0,Y,79-77,2025-01-18
Sacred Heart,Saint Peters,61,66,-2.5,N,61-66,2025-01-18
Evansville,Belmont,82,85,5.5,Y,82-85,2025-01-18
Fairfield,Canisius,67,78,-9.5,N,67-78,2025-01-18
Kansas,Kansas Stte,84,74,-15.0,Y,84-74,2025-01-18
Pittsburgh,Clemson,75,78,-3.5,Y,75-78,2025-01-18
Louisiana-Monroe,Louisiana-Lafayette,60,65,1.5,N,60-65,2025-01-18
Utah,BYU,73,72,1.5,Y,73-72,2025-01-18
Old Dominion,Georgia Southern,63,67,-2.5,N,63-67,2025-01-18
Dartmouth,Princeton,80,81,8.0,Y,80-81,2025-01-18
San Francisco,Oregon Stte,81,70,-4.5,Y,81-70,2025-01-18
Merrimack,Siena,64,58,-6.5,Y,64-58,2025-01-18
Louisville,Virginia,81,67,-15.0,Y,81-67,2025-01-18
UC Irvine,Cal Poly,101,71,-14.5,Y,101-71,2025-01-18
Northern Illinois,Central Michigan,66,71,9.5,Y,66-71,2025-01-18
Southern Illinois,Northern Iowa,73,49,5.0,Y,73-49,2025-01-18
The Citadel,VMI,70,75,1.0,N,70-75,2025-01-18
USC,Wisconsin,69,84,-1.5,N,69-84,2025-01-18
Manhattan,Niagara,72,65,-2.0,Y,72-65,2025-01-18
Columbia,Yale,88,92,7.5,Y,88-92,2025-01-18
Georgia,Auburn,68,70,5.5,Y,68-70,2025-01-18
Arkansas Stte,Georgia Stte,85,59,-16.5,Y,85-59,2025-01-18
Mount St Marys,Quinnipiac,57,91,3.5,N,57-91,2025-01-18
Oklahoma Stte,Colorado,83,73,-3.5,Y,83-73,2025-01-18
North Dakota,UMKC,76,72,-2.5,Y,76-72,2025-01-18
Coastal Carolina,Marshall,64,77,3.5,N,64-77,2025-01-18
Washington Stte,Portland,92,70,-17.0,Y,92-70,2025-01-18
James Madison,Appalachian Stte,50,58,-3.0,N,50-58,2025-01-18
Cincinnati,Arizona Stte,67,60,-10.5,Y,67-60,2025-01-18
Nevada,San Jose Stte,75,64,-13.5,Y,75-64,2025-01-18
Miami,S Methodist,74,117,6.0,N,74-117,2025-01-18
Florida Stte,Georgia Tech,91,78,-9.5,Y,91-78,2025-01-18
Bowling Green,Eastern Michigan,62,68,-6.5,Y,62-68,2025-01-18
Missouri,Arkansas,83,65,-5.5,Y,83-65,2025-01-18
VA Tech,Wake Forest,63,72,4.0,N,63-72,2025-01-18
